0,open,high,low,close
2020-01-02 20:30:00+09:00,775145.0,775145.0,775130.0,775130.0
2020-01-02 20:45:00+09:00,775000.0,775757.0,774340.0,774802.0
2020-01-02 21:00:00+09:00,774789.0,776780.0,774755.0,776240.0
2020-01-02 21:15:00+09:00,776966.0,776967.0,775440.0,775726.0
2020-01-02 21:30:00+09:00,775726.0,775882.0,774730.0,774995.0
2020-01-02 21:45:00+09:00,775061.0,776189.0,775061.0,776188.0
2020-01-02 22:00:00+09:00,776188.0,776652.0,775600.0,775800.0
2020-01-02 22:15:00+09:00,775560.0,775800.0,774500.0,774500.0
2020-01-02 22:30:00+09:00,774351.0,774351.0,770877.0,772494.0
2020-01-02 22:45:00+09:00,772459.0,774009.0,770470.0,773198.0
2020-01-02 23:00:00+09:00,773198.0,774420.0,772630.0,773180.0
2020-01-02 23:15:00+09:00,773190.0,773879.0,772940.0,773241.0
2020-01-02 23:30:00+09:00,773254.0,775370.0,773254.0,775370.0
2020-01-02 23:45:00+09:00,775007.0,775997.0,773600.0,773633.0
2020-01-03 00:00:00+09:00,773633.0,775200.0,773633.0,773950.0
2020-01-03 00:15:00+09:00,773950.0,774231.0,770870.0,771111.0
2020-01-03 00:30:00+09:00,771381.0,771597.0,770000.0,770938.0
2020-01-03 00:45:00+09:00,770938.0,771000.0,770002.0,770648.0
2020-01-03 01:00:00+09:00,770995.0,772510.0,769030.0,769140.0
2020-01-03 01:15:00+09:00,769140.0,769904.0,768701.0,769848.0
2020-01-03 01:30:00+09:00,769649.0,769904.0,769000.0,769367.0
2020-01-03 01:45:00+09:00,769001.0,769001.0,761773.0,762850.0
2020-01-03 02:00:00+09:00,762567.0,762567.0,753039.0,754600.0
2020-01-03 02:15:00+09:00,754600.0,755327.0,751349.0,752958.0
2020-01-03 02:30:00+09:00,752958.0,756000.0,752958.0,755000.0
2020-01-03 02:45:00+09:00,755136.0,755975.0,754274.0,755413.0
2020-01-03 03:00:00+09:00,755417.0,755417.0,753076.0,753852.0
2020-01-03 03:15:00+09:00,753735.0,755642.0,753542.0,755336.0
2020-01-03 03:30:00+09:00,755218.0,756099.0,754170.0,756099.0
2020-01-03 03:45:00+09:00,756099.0,756560.0,755000.0,755040.0
2020-01-03 04:00:00+09:00,755041.0,755041.0,754720.0,755000.0
2020-01-03 04:15:00+09:00,755005.0,756380.0,755000.0,755485.0
2020-01-03 04:30:00+09:00,755579.0,757517.0,755326.0,757517.0
2020-01-03 04:45:00+09:00,757700.0,758000.0,756740.0,756839.0
2020-01-03 05:00:00+09:00,756973.0,756974.0,755302.0,755302.0
2020-01-03 05:15:00+09:00,755274.0,755757.0,752704.0,753147.0
2020-01-03 05:30:00+09:00,753147.0,754565.0,753147.0,754258.0
2020-01-03 05:45:00+09:00,754440.0,754705.0,752880.0,752880.0
2020-01-03 06:00:00+09:00,752919.0,754000.0,752919.0,754000.0
2020-01-03 06:15:00+09:00,754000.0,755000.0,753420.0,754998.0
2020-01-03 06:30:00+09:00,754993.0,756579.0,754708.0,756300.0
2020-01-03 06:45:00+09:00,756300.0,757000.0,756030.0,756356.0
2020-01-03 07:00:00+09:00,756356.0,756647.0,755200.0,755386.0
2020-01-03 07:15:00+09:00,755201.0,756155.0,755001.0,755133.0
2020-01-03 07:30:00+09:00,755144.0,756108.0,755000.0,755300.0
2020-01-03 07:45:00+09:00,755300.0,756170.0,755038.0,756000.0
2020-01-03 08:00:00+09:00,756000.0,756157.0,754370.0,754837.0
2020-01-03 08:15:00+09:00,754839.0,754872.0,754000.0,754671.0
2020-01-03 08:30:00+09:00,754999.0,755810.0,754490.0,754501.0
2020-01-03 08:45:00+09:00,754808.0,755309.0,754477.0,754800.0
2020-01-03 09:00:00+09:00,754800.0,755129.0,753720.0,754464.0
2020-01-03 09:15:00+09:00,754490.0,754490.0,753012.0,753038.0
2020-01-03 09:30:00+09:00,753499.0,753500.0,751078.0,751788.0
2020-01-03 09:45:00+09:00,751050.0,752250.0,750456.0,751879.0
2020-01-03 10:00:00+09:00,751800.0,752085.0,750520.0,751354.0
2020-01-03 10:15:00+09:00,750830.0,751353.0,750327.0,750951.0
2020-01-03 10:30:00+09:00,750940.0,750940.0,747000.0,747251.0
2020-01-03 10:45:00+09:00,747460.0,747460.0,742520.0,743695.0
2020-01-03 11:00:00+09:00,743695.0,745650.0,741670.0,745024.0
2020-01-03 11:15:00+09:00,745690.0,750479.0,744920.0,748760.0
2020-01-03 11:30:00+09:00,748362.0,750740.0,748362.0,750210.0
